airport_id,code,name,city,state,statename,lat,lng
123,LIT,Adams Field Airport,Little Rock,AR,Arkansas,34.7278,-92.219
224,AKI,Akiak Airport,Bethel,AK,Alaska,60.8866,-161.218
983,ATK,Atqasuk Airport,Atqasuk,AK,Alaska,70.4639,-157.331
870,LUP,Kalaupapa Airport,Kalaupapa,HI,Hawaii,21.2077,-156.976
131,NYA,Norwood Young America,Norwood Young America,MN,Minnesota,44.7718,-93.9263
441,NUP,Nunapitchuk,Nunapitchuk,AK,Alaska,60.897,-162.453
260,SBA,Santa Barbara Municipal Airport,Goleta,CA,California,34.4255,-119.835
